tensor,parameters,fraction_percent,shape
decoder.upsample_layers.0.conv.weight,294912,3.403076052481629,"(128, 256, 3, 3)"
encoder.blocks.1.0.ffn_l.0.ffn_1.weight,262144,3.0249564910947813,"(1024, 256)"
encoder.blocks.1.0.ffn_l.0.ffn_2.weight,262144,3.0249564910947813,"(256, 1024)"
encoder.blocks.1.0.ffn_l.1.ffn_1.weight,262144,3.0249564910947813,"(1024, 256)"
encoder.blocks.1.0.ffn_l.1.ffn_2.weight,262144,3.0249564910947813,"(256, 1024)"
encoder.blocks.1.0.ffn_l.2.ffn_1.weight,262144,3.0249564910947813,"(1024, 256)"
encoder.blocks.1.0.ffn_l.2.ffn_2.weight,262144,3.0249564910947813,"(256, 1024)"
decoder.cross_blocks.1.0.ffn_l.0.ffn_1.weight,262144,3.0249564910947813,"(1024, 256)"
decoder.cross_blocks.1.0.ffn_l.0.ffn_2.weight,262144,3.0249564910947813,"(256, 1024)"
encoder.blocks.1.0.attn_l.0.qkv.weight,196608,2.2687173683210857,"(768, 256)"
encoder.blocks.1.0.attn_l.0.g2g_global_qkv_net.weight,196608,2.2687173683210857,"(768, 256)"
encoder.blocks.1.0.attn_l.1.qkv.weight,196608,2.2687173683210857,"(768, 256)"
encoder.blocks.1.0.attn_l.1.g2g_global_qkv_net.weight,196608,2.2687173683210857,"(768, 256)"
encoder.blocks.1.0.attn_l.2.qkv.weight,196608,2.2687173683210857,"(768, 256)"
encoder.blocks.1.0.attn_l.2.g2g_global_qkv_net.weight,196608,2.2687173683210857,"(768, 256)"
initial_encoder.conv_block_list.2.3.weight,147456,1.7015380262408144,"(128, 128, 3, 3)"
final_decoder.conv_block_list.0.0.weight,147456,1.7015380262408144,"(128, 128, 3, 3)"
final_decoder.conv_block_list.0.3.weight,147456,1.7015380262408144,"(128, 128, 3, 3)"
final_decoder.upsample_list.0.conv.weight,147456,1.7015380262408144,"(128, 128, 3, 3)"
final_decoder.upsample_list.1.conv.weight,147456,1.7015380262408144,"(128, 128, 3, 3)"
encoder.down_layers.0.reduction.weight,131072,1.5124782455473906,"(256, 512)"
encoder.blocks.1.0.attn_l.0.l2g_global_kv_net.weight,131072,1.5124782455473906,"(512, 256)"
encoder.blocks.1.0.attn_l.1.l2g_global_kv_net.weight,131072,1.5124782455473906,"(512, 256)"
encoder.blocks.1.0.attn_l.2.l2g_global_kv_net.weight,131072,1.5124782455473906,"(512, 256)"
decoder.cross_blocks.1.0.attn_l.0.kv_proj.weight,131072,1.5124782455473906,"(512, 256)"
initial_encoder.conv_block_list.2.0.weight,73728,0.8507690131204072,"(128, 64, 3, 3)"
final_decoder.conv_block_list.1.0.weight,73728,0.8507690131204072,"(64, 128, 3, 3)"
initial_encoder.patch_merge_list.2.reduction.weight,65536,0.7562391227736953,"(128, 512)"
encoder.blocks.0.0.ffn_l.0.ffn_1.weight,65536,0.7562391227736953,"(512, 128)"
encoder.blocks.0.0.ffn_l.0.ffn_2.weight,65536,0.7562391227736953,"(128, 512)"
